Date,Time,Weekday,To Home,To Work
2016-10-17,05:00,Monday,25 mins,25 mins
2016-10-17,05:05,Monday,25 mins,25 mins
2016-10-17,05:10,Monday,25 mins,25 mins
2016-10-17,05:15,Monday,25 mins,25 mins
2016-10-17,05:20,Monday,25 mins,25 mins
2016-10-17,05:25,Monday,25 mins,25 mins
2016-10-17,05:30,Monday,26 mins,25 mins
2016-10-17,05:35,Monday,26 mins,25 mins
2016-10-17,05:40,Monday,26 mins,25 mins
2016-10-17,05:45,Monday,26 mins,26 mins
2016-10-17,05:50,Monday,26 mins,26 mins
2016-10-17,05:55,Monday,26 mins,27 mins
2016-10-17,06:00,Monday,28 mins,30 mins
2016-10-17,06:05,Monday,29 mins,32 mins
2016-10-17,06:10,Monday,32 mins,34 mins
2016-10-17,06:15,Monday,36 mins,41 mins
2016-10-17,06:20,Monday,41 mins,49 mins
2016-10-17,06:25,Monday,43 mins,46 mins
2016-10-17,06:30,Monday,46 mins,49 mins
2016-10-17,06:35,Monday,47 mins,50 mins
2016-10-17,06:40,Monday,51 mins,50 mins
2016-10-17,06:45,Monday,55 mins,53 mins
2016-10-17,06:50,Monday,54 mins,56 mins
2016-10-17,06:55,Monday,54 mins,58 mins
2016-10-17,07:00,Monday,56 mins,57 mins
2016-10-17,07:05,Monday,56 mins,1 hour 3 mins
2016-10-17,07:10,Monday,57 mins,58 mins
2016-10-17,07:15,Monday,56 mins,1 hour 1 min
2016-10-17,07:20,Monday,1 hour 0 mins,58 mins
2016-10-17,07:25,Monday,1 hour 0 mins,58 mins
2016-10-17,07:30,Monday,57 mins,58 mins
2016-10-17,07:35,Monday,58 mins,1 hour 0 mins
2016-10-17,07:40,Monday,57 mins,1 hour 0 mins
2016-10-17,07:45,Monday,56 mins,1 hour 0 mins
2016-10-17,07:50,Monday,56 mins,58 mins
2016-10-17,07:55,Monday,57 mins,58 mins
2016-10-17,17:00,Monday,54 mins,40 mins
2016-10-17,17:05,Monday,55 mins,38 mins
2016-10-17,17:10,Monday,55 mins,38 mins
2016-10-17,17:15,Monday,57 mins,39 mins
2016-10-17,17:20,Monday,57 mins,39 mins
2016-10-17,17:25,Monday,57 mins,37 mins
2016-10-17,17:30,Monday,56 mins,37 mins
2016-10-17,17:35,Monday,54 mins,38 mins
2016-10-17,17:40,Monday,53 mins,36 mins
2016-10-17,17:45,Monday,52 mins,35 mins
2016-10-17,17:50,Monday,51 mins,34 mins
2016-10-17,17:55,Monday,51 mins,33 mins
2016-10-17,18:00,Monday,51 mins,36 mins
2016-10-17,18:05,Monday,51 mins,36 mins
2016-10-17,18:10,Monday,50 mins,35 mins
2016-10-17,18:15,Monday,48 mins,32 mins
2016-10-17,18:20,Monday,47 mins,32 mins
2016-10-17,18:25,Monday,46 mins,33 mins
2016-10-17,18:30,Monday,46 mins,32 mins
2016-10-17,18:35,Monday,46 mins,32 mins
2016-10-17,18:40,Monday,45 mins,32 mins
2016-10-17,18:45,Monday,43 mins,32 mins
2016-10-17,18:50,Monday,42 mins,31 mins
2016-10-17,18:55,Monday,42 mins,29 mins
2016-10-17,19:00,Monday,40 mins,29 mins
2016-10-17,19:05,Monday,39 mins,28 mins
2016-10-17,19:10,Monday,40 mins,28 mins
2016-10-17,19:15,Monday,39 mins,27 mins
2016-10-17,19:20,Monday,38 mins,27 mins
2016-10-17,19:25,Monday,37 mins,28 mins
2016-10-17,19:30,Monday,37 mins,27 mins
2016-10-17,19:35,Monday,36 mins,27 mins
2016-10-17,19:40,Monday,35 mins,27 mins
2016-10-17,19:45,Monday,35 mins,27 mins
2016-10-17,19:50,Monday,35 mins,27 mins
2016-10-17,19:55,Monday,33 mins,27 mins
2016-10-17,23:00,Monday,26 mins,26 mins
2016-10-17,23:05,Monday,26 mins,26 mins
2016-10-17,23:10,Monday,27 mins,26 mins
2016-10-17,23:15,Monday,26 mins,25 mins
2016-10-17,23:20,Monday,26 mins,25 mins
2016-10-17,23:25,Monday,25 mins,25 mins
2016-10-17,23:30,Monday,25 mins,25 mins
2016-10-17,23:35,Monday,25 mins,25 mins
2016-10-17,23:40,Monday,25 mins,25 mins
2016-10-17,23:45,Monday,26 mins,26 mins
2016-10-17,23:50,Monday,26 mins,26 mins
2016-10-17,23:55,Monday,27 mins,25 mins
2016-10-18,05:00,Tuesday,25 mins,25 mins
2016-10-18,05:05,Tuesday,25 mins,25 mins
2016-10-18,05:10,Tuesday,25 mins,25 mins
2016-10-18,05:15,Tuesday,25 mins,25 mins
2016-10-18,05:20,Tuesday,25 mins,25 mins
2016-10-18,05:25,Tuesday,25 mins,25 mins
2016-10-18,05:30,Tuesday,26 mins,25 mins
2016-10-18,05:35,Tuesday,26 mins,25 mins
